 &SRS
 SRSRUN=236467,SRSDAT=2021124,SRSTIM=2563,
 SRSSTN='Bran',SRSPRJ='I06-1   ',SRSEXP='Emulator',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
<MetaDataAtStart>
command=scan fastEnergy 0.0 199.0 1.0 fesData 0 1
date='Wed Feb 24 14:56:02 2021'
beamenergy=3.00093564698
ringcurrent=299.339180813
iddgap=36.2784
iddtrp=22.4135
iddbrp=22.4135
idugap=100.0
idutrp=0.0
idubrp=0.0
pugap=155.004
pgmpitch=88.267633402
pgmgratpitch=87.5558768731
cff=2.25
grating=400
pgmenergy=694.6734
denergy=694.673
uenergy=694.673
s1xgap=1.497
s1ygap=1.496
m1x=-5.0
m1pitch=-8509.0
m1qg=0.0894
m6x=3.0
m6yaw=-247.0
m6pitch=-10910.0
m6qg=0.0417
m7x=-1.4
m7pitch=6949.0
m7qg=15.1122
d9y=-16.000026
d10y=6.003
d11y=2.9
s6x=1.5147
s6xgap=1500.0
s6y=8.4886
s6ygap=20.068
iamp12_gain=10^7 V/A
magx=0.0
magy=0.0
magz=6.0
scmx=0.0
scmy=-4.0
scmth=3e-05
Tsample_mag=1.9
amp_scm_gain=5.0
amp_XABS_gain=6.0
amp_DDIFF_gain=5.0
m7y=-19.1
</MetaDataAtStart>
 &END
fastEnergy	pIndex	C1	C2	C3	C4	iddenergy	pgmenergy	C5	C6	idio	ifio	ifioft	ifiofb
709.914500	   71	  82647.000000000000	  22973.000000000000	   9563.000000000000	   1880.000000000000	    710.564000000000	    709.914500000000	  15552.000000000000	      0.000000000000	      3.597571061681	      0.416271274975	      0.081835197841	      0.676968615331
710.095000	   72	  76665.000000000000	  22962.000000000000	   9304.000000000000	   2075.000000000000	    710.793000000000	    710.095000000000	  14673.000000000000	      0.000000000000	      3.338777110008	      0.405191185437	      0.090366692797	      0.639012281160
710.308200	   73	  72142.000000000000	  22965.000000000000	   9063.000000000000	   2035.000000000000	    711.032000000000	    710.308200000000	  13901.000000000000	      0.000000000000	      3.141389070324	      0.394644023514	      0.088613106902	      0.605312431962
710.490500	   74	  68747.000000000000	  22968.000000000000	   8917.000000000000	   1847.000000000000	    711.229000000000	    710.490500000000	  13357.000000000000	      0.000000000000	      2.993164402647	      0.388235806339	      0.080416231278	      0.581548241031
710.688700	   75	  66116.000000000000	  22952.000000000000	   8808.000000000000	   1831.000000000000	    711.466000000000	    710.688700000000	  12939.000000000000	      0.000000000000	      2.880620425235	      0.383757406762	      0.079775182991	      0.563741721854
710.861200	   76	  63938.000000000000	  22946.000000000000	   8721.000000000000	   1996.000000000000	    711.692000000000	    710.861200000000	  12621.000000000000	      0.000000000000	      2.786455155583	      0.380066242482	      0.086986838665	      0.550030506406
711.049000	   77	  62123.000000000000	  22935.000000000000	   8601.000000000000	   2088.000000000000	    711.923000000000	    711.049000000000	  12350.000000000000	      0.000000000000	      2.708654894266	      0.375016350556	      0.091039895356	      0.538478308262
711.222800	   78	  60643.000000000000	  22923.000000000000	   8508.000000000000	   1906.000000000000	    712.160000000000	    711.222800000000	  12144.000000000000	      0.000000000000	      2.645508877547	      0.371155607905	      0.083147930027	      0.529773589844
711.408200	   79	  59407.000000000000	  22921.000000000000	   8429.000000000000	   1799.000000000000	    712.373000000000	    711.408200000000	  11954.000000000000	      0.000000000000	      2.591815365822	      0.367741372540	      0.078486977008	      0.521530474238
711.577300	   80	  58395.000000000000	  22914.000000000000	   8377.000000000000	   1936.000000000000	    712.588000000000	    711.577300000000	  11760.000000000000	      0.000000000000	      2.548442000524	      0.365584358907	      0.084489831544	      0.513223356900
711.758700	   81	  57460.000000000000	  22898.000000000000	   8319.000000000000	   2076.000000000000	    712.805000000000	    711.758700000000	  11594.000000000000	      0.000000000000	      2.509389466329	      0.363306839025	      0.090662939995	      0.506332430780
711.921200	   82	  56632.000000000000	  22883.000000000000	   8251.000000000000	   1985.000000000000	    713.035000000000	    711.921200000000	  11437.000000000000	      0.000000000000	      2.474850325569	      0.360573351396	      0.086745619018	      0.499803347463
712.098500	   83	  55902.000000000000	  22884.000000000000	   8167.000000000000	   1840.000000000000	    713.270000000000	    712.098500000000	  11316.000000000000	      0.000000000000	      2.442842160461	      0.356886907883	      0.080405523510	      0.494493969586
712.265400	   84	  55209.000000000000	  22869.000000000000	   8134.000000000000	   1837.000000000000	    713.503000000000	    712.265400000000	  11185.000000000000	      0.000000000000	      2.414141414141	      0.355677992042	      0.080327080327	      0.489090034545
712.457600	   85	  54525.000000000000	  22856.000000000000	   8066.000000000000	   2022.000000000000	    713.729000000000	    712.457600000000	  11056.000000000000	      0.000000000000	      2.385588029401	      0.352905145257	      0.088466923346	      0.483724186209
712.637900	   86	  53916.000000000000	  22860.000000000000	   7987.000000000000	   2071.000000000000	    713.921000000000	    712.637900000000	  10877.000000000000	      0.000000000000	      2.358530183727	      0.349387576553	      0.090594925634	      0.475809273841
712.832000	   87	  53314.000000000000	  22847.000000000000	   7931.000000000000	   1877.000000000000	    714.157000000000	    712.832000000000	  10796.000000000000	      0.000000000000	      2.333523000832	      0.347135291286	      0.082155206373	      0.472534687267
713.016600	   88	  52710.000000000000	  22835.000000000000	   7875.000000000000	   1840.000000000000	    714.396000000000	    713.016600000000	  10592.000000000000	      0.000000000000	      2.308298664331	      0.344865338296	      0.080578059996	      0.463849354062
713.228900	   89	  52157.000000000000	  22832.000000000000	   7846.000000000000	   1936.000000000000	    714.614000000000	    713.228900000000	  10501.000000000000	      0.000000000000	      2.284381569727	      0.343640504555	      0.084793272600	      0.459924667134
713.422800	   90	  51650.000000000000	  22825.000000000000	   7815.000000000000	   2071.000000000000	    714.839000000000	    713.422800000000	  10360.000000000000	      0.000000000000	      2.262869660460	      0.342387732749	      0.090733844469	      0.453888280394
